"genus" "family" "order"
"Acacia_glandulicarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_glaucissima" "Acacia" "Fabaceae" "Fabales"
"Acacia_glaucocarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_glomerosa" "Acacia" "Fabaceae" "Fabales"
"Acacia_gnidium" "Acacia" "Fabaceae" "Fabales"
"Acacia_gonoclada" "Acacia" "Fabaceae" "Fabales"
"Acacia_gordonii" "Acacia" "Fabaceae" "Fabales"
"Acacia_gracilifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_granitica" "Acacia" "Fabaceae" "Fabales"
"Acacia_grasbyi" "Acacia" "Fabaceae" "Fabales"
"Acacia_greggii" "Acacia" "Fabaceae" "Fabales"
"Acacia_grisea" "Acacia" "Fabaceae" "Fabales"
"Acacia_gunnii" "Acacia" "Fabaceae" "Fabales"
"Acacia_hakeoides" "Acacia" "Fabaceae" "Fabales"
"Acacia_hamersleyensis" "Acacia" "Fabaceae" "Fabales"
"Acacia_hamiltoniana" "Acacia" "Fabaceae" "Fabales"
"Acacia_hammondii" "Acacia" "Fabaceae" "Fabales"
"Acacia_hamulosa" "Acacia" "Fabaceae" "Fabales"
"Acacia_harpophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_harveyi" "Acacia" "Fabaceae" "Fabales"
"Acacia_havilandiorum" "Acacia" "Fabaceae" "Fabales"
"Acacia_hayesii" "Acacia" "Fabaceae" "Fabales"
"Acacia_hemignosta" "Acacia" "Fabaceae" "Fabales"
"Acacia_hemiteles" "Acacia" "Fabaceae" "Fabales"
"Acacia_hemsleyi" "Acacia" "Fabaceae" "Fabales"
"Acacia_heterochroa" "Acacia" "Fabaceae" "Fabales"
"Acacia_hilliana" "Acacia" "Fabaceae" "Fabales"
"Acacia_hindsii" "Acacia" "Fabaceae" "Fabales"
"Acacia_hirtipes" "Acacia" "Fabaceae" "Fabales"
"Acacia_hispidula" "Acacia" "Fabaceae" "Fabales"
"Acacia_holosericea" "Acacia" "Fabaceae" "Fabales"
"Acacia_homalophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_howittii" "Acacia" "Fabaceae" "Fabales"
"Acacia_hubbardiana" "Acacia" "Fabaceae" "Fabales"
"Acacia_huegelii" "Acacia" "Fabaceae" "Fabales"
"Acacia_humifusa" "Acacia" "Fabaceae" "Fabales"
"Acacia_hyaloneura" "Acacia" "Fabaceae" "Fabales"
"Acacia_imbricata" "Acacia" "Fabaceae" "Fabales"
"Acacia_implexa" "Acacia" "Fabaceae" "Fabales"
"Acacia_inaequilatera" "Acacia" "Fabaceae" "Fabales"
"Acacia_incanicarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_ingramii" "Acacia" "Fabaceae" "Fabales"
"Acacia_irrorata" "Acacia" "Fabaceae" "Fabales"
"Acacia_iteaphylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_ixiophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_jennerae" "Acacia" "Fabaceae" "Fabales"
"Acacia_johnwoodii" "Acacia" "Fabaceae" "Fabales"
"Acacia_jonesii" "Acacia" "Fabaceae" "Fabales"
"Acacia_jucunda" "Acacia" "Fabaceae" "Fabales"
"Acacia_julifera" "Acacia" "Fabaceae" "Fabales"
"Acacia_juncifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_karroo" "Acacia" "Fabaceae" "Fabales"
"Acacia_kempeana" "Acacia" "Fabaceae" "Fabales"
"Acacia_kettlewelliae" "Acacia" "Fabaceae" "Fabales"
"Acacia_koa" "Acacia" "Fabaceae" "Fabales"
"Acacia_koaia" "Acacia" "Fabaceae" "Fabales"
"Acacia_kosiensis" "Acacia" "Fabaceae" "Fabales"
"Acacia_kybeanensis" "Acacia" "Fabaceae" "Fabales"
"Acacia_kydrensis" "Acacia" "Fabaceae" "Fabales"
"Acacia_laccata" "Acacia" "Fabaceae" "Fabales"
"Acacia_lachnophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_lanigera" "Acacia" "Fabaceae" "Fabales"
"Acacia_lasiocalyx" "Acacia" "Fabaceae" "Fabales"
"Acacia_lasiocarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_latisepala" "Acacia" "Fabaceae" "Fabales"
"Acacia_latzii" "Acacia" "Fabaceae" "Fabales"
"Acacia_legnota" "Acacia" "Fabaceae" "Fabales"
"Acacia_leiocalyx" "Acacia" "Fabaceae" "Fabales"
"Acacia_leiophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_leprosa" "Acacia" "Fabaceae" "Fabales"
"Acacia_leptocarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_leptoclada" "Acacia" "Fabaceae" "Fabales"
"Acacia_leptostachya" "Acacia" "Fabaceae" "Fabales"
"Acacia_leucoclada" "Acacia" "Fabaceae" "Fabales"
"Acacia_leucolobia" "Acacia" "Fabaceae" "Fabales"
"Acacia_ligulata" "Acacia" "Fabaceae" "Fabales"
"Acacia_linearifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_lineata" "Acacia" "Fabaceae" "Fabales"
"Acacia_lineolata" "Acacia" "Fabaceae" "Fabales"
"Acacia_linifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_lirellata" "Acacia" "Fabaceae" "Fabales"
"Acacia_longifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_longispicata" "Acacia" "Fabaceae" "Fabales"
"Acacia_longispinea" "Acacia" "Fabaceae" "Fabales"
