"la" "ln" "ph" "sla" "ssd" "sm"
"Acacia_crassicarpa" NA NA NA NA 0.584241277833333 25.97
"Acacia_crassiuscula" NA NA NA NA NA 4.496
"Acacia_creatacea" NA NA NA NA NA 32.18
"Acacia_cremiflora" NA NA NA NA NA 24.79
"Acacia_crenulata" NA NA NA NA NA 5.14
"Acacia_cultriformis" 87.2722 NA 1.5 2.482144482 NA 12.8
"Acacia_cuneifolia" NA NA NA NA NA 18.99
"Acacia_cupularis" NA NA NA NA NA 16.23
"Acacia_curranii" NA NA NA NA NA 4.33
"Acacia_cuthbertsonii" 260 NA NA NA NA 132.8365
"Acacia_cyclops" NA 15.0213235294118 4.3288 NA NA 24.3108196666667
"Acacia_cyperophylla" NA NA NA NA NA 11.9
"Acacia_dallachiana" NA NA NA NA NA 15.37
"Acacia_dawsonii" NA NA NA NA NA 4.6
"Acacia_dealbata" 227.27 35.4425 8.30833333333333 17.19734179875 0.58662473325 12.22
"Acacia_deanei" 535.4249 NA 6 5.206056701 NA 17.7233333333333
"Acacia_decora" 102.654 NA 2 5.86858543833333 NA 12.1
"Acacia_decurrens" NA NA NA NA 0.555779 30.1
"Acacia_deficiens" NA NA NA NA NA 8.53
"Acacia_desmondii" 175 NA NA NA NA 8.422
"Acacia_dictyoneura" NA NA NA NA NA 8.4
"Acacia_dictyophleba" NA NA NA NA 0.761985 NA
"Acacia_difficilis" NA NA NA NA 0.776755 23
"Acacia_difformis" NA NA NA NA NA 46.9
"Acacia_dimidiata" NA 21.56 NA 5.01 NA NA
"Acacia_disticha" NA NA NA NA NA 7.22
"Acacia_dodonaeifolia" NA NA NA NA NA 20.39
"Acacia_doratoxylon" 690.04565404 20.2673259528205 7.72222222222222 4.36816994777778 0.787815 12.1
"Acacia_drepanophylla" NA NA NA NA NA 23.9
"Acacia_drummondii" NA NA NA NA NA 14.6125
"Acacia_dudgeoni" NA 29.51 NA 13 NA 92.34
"Acacia_durabilis" NA NA NA NA NA 13.91
"Acacia_duriuscula" NA NA NA NA NA 2.55
"Acacia_ebutsiniorum" NA NA NA NA NA 39.25
"Acacia_effusa" NA NA NA NA NA 26.37
"Acacia_elachantha" NA NA NA NA NA 9.59
"Acacia_elata" 271.612375 NA NA 22.5 0.51 32.5
"Acacia_elongata" NA NA NA NA NA 8.205
"Acacia_empelioclada" NA NA NA NA NA 4.52
"Acacia_enterocarpa" NA NA NA NA NA 5.53
"Acacia_erinacea" NA NA NA NA NA 5.47
"Acacia_errabunda" NA NA NA NA NA 9.85
"Acacia_estrophiolata" 1500 22.475 NA 4.587802753 NA 54.694
"Acacia_excelsa" 167 NA 10 4.27 0.9377555 22.6571055555556
"Acacia_extensa" NA NA NA NA NA 12.5
"Acacia_falcata" NA 19.3 NA 7.81298565 NA 13.6
"Acacia_falciformis" NA NA NA NA NA 42.82
"Acacia_farinosa" NA NA NA NA NA 8.65
"Acacia_farnesiana" 6 46 10.0584 37.948 NA 72.2555555555556
"Acacia_fasciculifera" NA NA NA NA 0.96432 NA
"Acacia_filicifolia" NA NA NA NA NA 13.8
"Acacia_filifolia" NA NA NA NA NA 3.55
"Acacia_fimbriata" NA NA NA NA NA 17
"Acacia_flabellifolia" NA NA NA NA NA 8.57
"Acacia_flavescens" NA NA NA NA NA 30.31
"Acacia_fleckii" NA 38.0953655555556 NA NA NA 101.73
"Acacia_flexifolia" NA NA NA NA NA 7.18
"Acacia_flocktoniae" NA NA NA NA NA 4.976
"Acacia_floribunda" 317.148888888889 22.627826938 6.61111111111111 7.8203475814 NA 21.28
"Acacia_floydii" NA NA NA NA NA 30.24
"Acacia_frigescens" NA NA NA NA NA 14.7
"Acacia_galeata" NA NA NA NA NA 71.2
"Acacia_gaumeri" NA 34.49 NA 14.609 NA 29.75
"Acacia_genistifolia" 165 NA NA NA NA 29.95
"Acacia_gentlei" NA NA NA NA NA 56.5
"Acacia_georginae" 5000 NA NA NA 0.7749 58.509
"Acacia_gerrardii" 465.571078000166 28.190014425625 1.88076923076923 7.68012477853333 0.7767357143 60.3
"Acacia_gillii" NA NA NA NA NA 17.75
"Acacia_gladiiformis" NA NA NA NA NA 25.91
"Acacia_glandulicarpa" NA NA NA NA NA 9.18
"Acacia_glaucissima" NA NA NA NA NA 3.83
"Acacia_glaucocarpa" NA NA NA NA 0.78 20.2
"Acacia_glomerosa" 37.6931315316667 NA 30 NA NA 184.78
"Acacia_gnidium" NA NA NA NA NA 6.85
"Acacia_gonoclada" NA NA NA NA NA 4.84
"Acacia_gordonii" NA NA NA NA NA 13.49
"Acacia_gracilifolia" NA NA NA NA NA 21.61
"Acacia_granitica" NA NA NA NA NA 10.31
"Acacia_grasbyi" NA NA NA NA 0.981951333333333 NA
"Acacia_greggii" 314.113454438889 30.38475 7.78785 34.9535209542778 0.3882169158127 173.860734833333
"Acacia_grisea" NA NA NA NA NA 2.84
"Acacia_gunnii" NA NA NA NA NA 13.25
"Acacia_hakeoides" 456.193333333333 NA 4 3.4986267415 NA 24.9905555555556
"Acacia_hamersleyensis" NA NA NA NA NA 16.11
"Acacia_hamiltoniana" NA NA NA NA NA 15.73
"Acacia_hammondii" NA NA NA NA NA 6.27
"Acacia_hamulosa" NA NA NA NA NA 75.04
"Acacia_harpophylla" NA NA NA NA 0.89593233325 50.42
"Acacia_harveyi" NA NA NA NA NA 12.02
"Acacia_havilandiorum" 74.351804 15.075785835641 3.5 3.28843940175 NA 5.855
"Acacia_hayesii" 21 NA NA NA NA NA
"Acacia_hemignosta" NA NA NA NA 0.64575 40.25
"Acacia_hemiteles" NA 27.975 NA 7.066950523 NA 26.065
"Acacia_hemsleyi" NA NA NA NA 0.6 16.75
"Acacia_heterochroa" NA NA NA NA NA 8.46
"Acacia_hilliana" NA NA NA NA NA 6.06
"Acacia_hindsii" NA NA NA NA NA 38.5
"Acacia_hirtipes" NA NA NA NA NA 11.46
"Acacia_hispidula" NA NA NA NA NA 47.54
"Acacia_holosericea" NA 19.48 NA 3.58 0.74907 7.52
"Acacia_homalophylla" 286.497 NA 6.5 3.2212349815 NA 12.7445666666667
"Acacia_howittii" NA NA NA NA NA 5.21
"Acacia_hubbardiana" NA NA NA NA NA 23.285
"Acacia_huegelii" 22.15 NA NA NA NA NA
"Acacia_humifusa" NA NA NA NA NA 26.6
"Acacia_hyaloneura" NA NA NA NA NA 5.21
"Acacia_imbricata" NA NA NA NA NA 9.81
"Acacia_implexa" NA 39.0886949175 NA 17.1505952725 0.6388791665 18.1333333333333
"Acacia_inaequilatera" NA NA NA NA NA 41.98
"Acacia_incanicarpa" NA NA NA NA NA 9.08
"Acacia_ingramii" NA NA NA NA NA 20.42
"Acacia_irrorata" 788.3818125 51.54 11 19.31622631 0.55104 7.79
"Acacia_iteaphylla" NA NA NA NA NA 27.7
"Acacia_ixiophylla" NA NA NA NA NA 6.5
"Acacia_jennerae" NA NA NA NA 0.742182 71.66
"Acacia_johnwoodii" NA NA NA NA NA 136.56
"Acacia_jonesii" NA NA NA 24.3 NA 13.75
"Acacia_jucunda" NA NA NA NA NA 15.46
"Acacia_julifera" NA NA NA NA NA 26.36
"Acacia_juncifolia" NA NA NA NA NA 9.6
"Acacia_karroo" 39.4811666666667 28.7442212088889 5.07857142857143 9.5458708485 0.68 32.239
"Acacia_kempeana" 335 16.9875 NA 2.71385449925 NA 14.195
"Acacia_kettlewelliae" NA NA NA NA NA 16.71
"Acacia_koa" 2042.29 27.55 38.264 8.788 0.61 91.4094253333333
"Acacia_koaia" NA NA 12.192 NA NA 11.093929
"Acacia_kosiensis" NA NA NA NA NA 72.18
"Acacia_kybeanensis" NA NA NA NA NA 15.8
"Acacia_kydrensis" NA NA NA NA NA 15.22
"Acacia_laccata" NA NA NA NA 0.72324 NA
"Acacia_lachnophylla" NA NA NA NA NA 1.92
"Acacia_lanigera" NA NA NA NA NA 12.81
"Acacia_lasiocalyx" NA NA NA NA 0.684495 24.9
"Acacia_lasiocarpa" NA 18.14 NA 5.338078292 NA 5.035
"Acacia_latisepala" NA NA NA NA NA 66.22
"Acacia_latzii" 150 NA NA NA NA 12.644
"Acacia_legnota" NA NA NA NA NA 36.33
"Acacia_leiocalyx" NA NA NA NA NA 7.3335
"Acacia_leiophylla" NA NA NA NA NA 11.65
"Acacia_leprosa" NA NA NA NA NA 4.98559
"Acacia_leptocarpa" NA NA NA NA NA 10.32
"Acacia_leptoclada" NA NA NA NA NA 13.37
"Acacia_leptostachya" NA NA NA NA NA 3.97
