"biomesKoeppenGroup" "woodiness" "mycorrhizalAssociationType" "nitrogenFixationNodDB" "SRL" "D" "RTD" "N"
"Anaphalis_aureopunctata" "NA" "non-woody/woody" "NM-AM" "NA" 1.140744747 -1.027776058 -0.443561635 -0.284444967
"Anaphalis_hancockii" "NA" "non-woody/woody" "AM" "NA" 0.857276223 -0.609800691 -0.67961111 -0.203634441
"Anaxagorea_javanica" "Tropical" "woody" "NA" "NA" -0.192584704 0.380388038 -0.392662917 NA
"Andromeda_polifolia" "Polar" "non-woody/woody" "NA" "NA" NA NA NA -0.141835223
"Andropogon_gayanus" "NA" "non-woody" "NA" "NA" NA 0.541714616 0.794053321 -1.364206971
"Andropogon_gerardi" "Continental" "non-woody" "NA" "NA" NA NA NA -1.170695484
"Andropogon_gerardii" "NA" "non-woody" "NA" "NA" -0.224138421 -0.449824636 0.561288227 -0.029566118
"Andropogon_hallii" "NA" "non-woody" "NA" "NA" NA 0.541714616 -0.147172666 0.658702275
"Androsace_occidentalis" "Arid" "non-woody" "NA" "NA" 0.700542672 -1.254976702 0.439197002 NA
"Androsace_septentrionalis" "Temperate" "non-woody" "NA" "NA" 0.333113949 NA NA 0.283441149
"Anemone_cylindrica" "NA" "non-woody" "NA" "NA" -0.259888657 0.183224335 0.367763533 0.068107581
"Anemone_patens" "Arid" "non-woody" "NA" "NA" -0.585586623 0.581722457 0.256891516 NA
"Angelica_archangelica" "Polar" "non-woody" "NA" "NA" NA NA NA -0.143519931
"Aniba_citrifolia" "Tropical" "woody" "NA" "NA" -0.249876248 1.103493875 -0.708872903 NA
"Anisotome_aromatica" "Temperate" "non-woody" "NA" "NA" -0.468556435 NA NA 0.570856567
"Antennaria_dioica" "NA" "non-woody" "NA" "NA" 0.146302003 -0.104602854 -0.085313965 NA
"Antennaria_neglecta" "NA" "non-woody" "NA" "NA" 0.322571667 0.104048111 -0.859306323 NA
"Antennaria_parvifolia" "Temperate" "non-woody" "NA" "NA" -0.516610721 0.493049963 -0.271990115 -1.053066035
"Antennaria_rosulata" "Temperate" "non-woody" "NA" "NA" -0.543410829 NA NA -1.563326376
"Anthemis_cotula" "NA" "non-woody" "NA" "NA" -0.212218014 NA NA 0.424645575
"Anthemis_tinctoria" "NA" "non-woody" "NA" "NA" 0.136282415 -0.291803193 0.174171749 NA
"Anthoxanthum_odoratum" "NA" "non-woody" "NA" "NA" 0.30855949 -0.707339883 -0.199056525 0.272792081
"Anthriscus_sylvestris" "NA" "non-woody" "NA" "NA" -0.575420026 0.049264448 0.117032902 -1.127922721
"Anthyllis_cytisoides" "Arid" "woody" "NA" "Rhizobia" -0.045317127 -0.606747938 -0.062878271 NA
"Anthyllis_terniflora" "Arid" "non-woody" "NA" "Rhizobia" -0.357149689 -0.23025658 -0.187960233 NA
"Anthyllis_vulneraria" "NA" "non-woody" "NA" "Rhizobia" 0.239408844 -0.169636126 -0.473485759 NA
"Antidesma_maclurei" "Tropical" "woody" "AM" "NA" -0.441168558 0.187926319 0.22992722 0.130491879
"Aphanamixis_grandifolia" "Temperate" "woody" "AM" "NA" 0.350411815 -0.5191487 0.421989698 0.471798227
"Apocynum_cannabinum" "NA" "non-woody" "NA" "NA" -0.278171971 0.241587607 0.141243549 NA
"Apocynum_venetum" "NA" "non-woody" "NA" "NA" NA 1.026560032 NA 0.042966944
"Apodytes_dimidiata" "Temperate" "woody" "NA" "NA" 0.079954804 -0.117848895 -0.069159584 NA
"Aporosa_dioica" "Temperate" "woody" "AM" "NA" -0.245075484 0.354531057 0.065206472 0.231087284
"Aporosa_subcaudata" "Tropical" "woody" "NA" "NA" 0.194374449 -0.390683792 0.020067816 NA
"Aporosa_villosa" "NA" "woody" "AM" "NA" -0.108094073 -0.272239323 0.860228024 NA
"Aporosa_yunnanensis" "NA" "woody" "AM" "NA" 0.097164873 -0.336430579 0.439052992 0.247687973
"Aquilegia_vulgaris" "NA" "non-woody" "AM" "NA" 0.547686059 -0.363483504 NA NA
"Arachis_pintoi" "Tropical" "woody" "NA" "Rhizobia" NA NA NA 1.393661495
"Arbutus_unedo" "Temperate" "woody" "NA" "NA" 0.132688547 0.268570168 -0.165140422 NA
"Archidendron_clypearia" "NA" "woody" "AM" "Rhizobia" 0.50965882 -0.747928712 1.134210759 NA
"Archidendron_lucidum" "NA" "woody" "AM" "Rhizobia" 0.385141401 -0.808652542 0.725040339 NA
"Arctium_lappa" "NA" "non-woody" "NA" "NA" -0.976909694 1.377742279 -0.219311671 NA
"Arctium_tomentosum" "NA" "non-woody" "NA" "NA" -0.916792169 1.205646576 0.083251093 NA
"Arctostaphylos_uva-ursi" "Continental" "woody" "NA" "NA" 0.229394222 -0.240109894 NA -0.068134776
"Arctotheca_calendula" "NA" "non-woody" "NA" "NA" 0.052347495 0.195849339 NA NA
"Ardisia_depressa" "Temperate" "woody" "AM" "NA" 0.269424103 -0.166439861 -0.200862609 0.055391663
"Ardisia_japonica" "NA" "woody" "AM" "NA" 0.052196263 -0.212696329 0.279655327 -0.162300783
"Ardisia_quinquegona" "Temperate" "woody" "NA" "NA" -0.100654022 0.127976419 0.002508029 0.015314151
"Arenaria_fendleri" "Temperate" "non-woody" "NA" "NA" -0.159472299 NA NA -0.139741738
"Arenaria_lanuginosa" "Temperate" "non-woody" "NA" "NA" -0.495156595 NA NA -0.176908837
"Arenaria_serpyllifolia" "NA" "non-woody" "NA" "NA" 0.857390199 -0.2846235 -0.608728208 0.235771278
"Aristida_holathera" "NA" "non-woody" "NA" "NA" NA 0.880630617 0.703220594 -0.960385489
"Aristida_inaequiglumis" "NA" "non-woody" "NA" "NA" NA 0.223264433 0.326636729 -0.532950401
"Aristida_oligantha" "NA" "non-woody" "NA" "NA" 0.373060004 -0.469260423 0.106954991 NA
"Aristida_pennata" "Arid" "non-woody" "NA" "NA" -0.169669035 NA NA -0.449579888
"Aristida_purpurea" "NA" "non-woody" "NA" "NA" -0.097070294 -0.034061739 0.220191754 -0.776713733
"Aristida_ramosa" "NA" "non-woody" "NA" "NA" -0.142877482 0.367170893 NA NA
"Aristotelia_serrata" "NA" "woody" "AM" "NA" 0.718918824 -0.598128462 -0.358912631 0.229301567
"Armeria_maritima" "NA" "non-woody" "NA" "NA" NA 0.135014327 NA NA
"Armeria_velutina" "Temperate" "non-woody" "NA" "NA" 0.032597777 0.295184016 -0.034112646 NA
"Arnica_fulgens" "Arid" "non-woody" "NA" "NA" -1.101875992 1.103134728 0.108776668 NA
"Arnica_mollis" "Continental" "non-woody" "NA" "NA" NA 0.080695201 NA NA
"Arnica_sororia" "Arid" "non-woody" "NA" "NA" 0.004290382 -0.076127781 -0.007600964 NA
"Arrhenatherum_elatius" "NA" "non-woody" "NA" "NA" -0.143552333 -0.053062001 0.214705669 -0.519093835
"Artemisia_barrelieri" "Arid" "woody" "NA" "NA" -0.478004406 0.013099195 -0.481042148 NA
"Artemisia_campestris" "Temperate" "non-woody" "NA" "NA" 0.116806074 NA NA -0.227197226
"Artemisia_cana" "Arid" "woody" "NA" "NA" -0.218995185 0.30443848 -0.207659393 NA
"Artemisia_capillaris" "Arid" "non-woody/woody" "NA" "NA" 0.363964849 NA NA 0.580340807
"Artemisia_carruthii" "Temperate" "non-woody" "NA" "NA" 0.284093144 NA NA 0.118394201
